"drug","disease","classification","notes","drug_url","disease_url"
"Abacavir","acquired immunodeficiency syndrome","DM","","http://www.drugbank.ca/drugs/DB01048","http://www.disease-ontology.org/term/DOID%3A635"
"Abiraterone","prostate cancer","DM","","http://www.drugbank.ca/drugs/DB05812","http://www.disease-ontology.org/term/DOID%3A10283"
"Acamprosate","alcohol dependence","DM","(works as well as naltrexone)","http://www.drugbank.ca/drugs/DB00659","http://www.disease-ontology.org/term/DOID%3A0050741"
"Acarbose","type 2 diabetes mellitus","DM"," (glucosidase inhibitor)","http://www.drugbank.ca/drugs/DB00284","http://www.disease-ontology.org/term/DOID%3A9352"
"Acebutolol","hypertension","DM"," (cardioselective beta blocker","http://www.drugbank.ca/drugs/DB01193","http://www.disease-ontology.org/term/DOID%3A10763"
"Acetaminophen","migraine","SYM","","http://www.drugbank.ca/drugs/DB00316","http://www.disease-ontology.org/term/DOID%3A6364"
"Acetaminophen","osteoarthritis","SYM","","http://www.drugbank.ca/drugs/DB00316","http://www.disease-ontology.org/term/DOID%3A8398"
"Acetazolamide","epilepsy syndrome","NOT","hm. Can be used for seizures but not great drug","http://www.drugbank.ca/drugs/DB00819","http://www.disease-ontology.org/term/DOID%3A1826"
"Acetazolamide","glaucoma","DM","","http://www.drugbank.ca/drugs/DB00819","http://www.disease-ontology.org/term/DOID%3A1686"
"Acetophenazine","schizophrenia","SYM","","http://www.drugbank.ca/drugs/DB01063","http://www.disease-ontology.org/term/DOID%3A5419"
"Acetylcysteine","chronic obstructive pulmonary disease","DM","","http://www.drugbank.ca/drugs/DB06151","http://www.disease-ontology.org/term/DOID%3A3083"
"Acetylsalicylic acid","Kawasaki disease","DM","","http://www.drugbank.ca/drugs/DB00945","http://www.disease-ontology.org/term/DOID%3A13378"
"Acetylsalicylic acid","coronary artery disease","DM","","http://www.drugbank.ca/drugs/DB00945","http://www.disease-ontology.org/term/DOID%3A3393"
"Acetylsalicylic acid","gout","NOT","not indicated. Asa can increase risk of gout","http://www.drugbank.ca/drugs/DB00945","http://www.disease-ontology.org/term/DOID%3A13189"
"Acetylsalicylic acid","hypertension","NOT","","http://www.drugbank.ca/drugs/DB00945","http://www.disease-ontology.org/term/DOID%3A10763"
"Acetylsalicylic acid","migraine","SYM","","http://www.drugbank.ca/drugs/DB00945","http://www.disease-ontology.org/term/DOID%3A6364"
"Acetylsalicylic acid","osteoarthritis","SYM","","http://www.drugbank.ca/drugs/DB00945","http://www.disease-ontology.org/term/DOID%3A8398"
"Acetylsalicylic acid","rheumatoid arthritis","SYM","","http://www.drugbank.ca/drugs/DB00945","http://www.disease-ontology.org/term/DOID%3A7148"
"Acetylsalicylic acid","systemic lupus erythematosus","DM","not really confident about this one. ","http://www.drugbank.ca/drugs/DB00945","http://www.disease-ontology.org/term/DOID%3A9074"
"Aciclovir","acquired immunodeficiency syndrome","DM","newer data shows it may slow diseae progression","http://www.drugbank.ca/drugs/DB00787","http://www.disease-ontology.org/term/DOID%3A635"
"Acitretin","psoriasis","DM","","http://www.drugbank.ca/drugs/DB00459","http://www.disease-ontology.org/term/DOID%3A8893"
"Adefovir Dipivoxil","hepatitis B","DM","","http://www.drugbank.ca/drugs/DB00718","http://www.disease-ontology.org/term/DOID%3A2043"
"Alendronate","Paget's disease of bone","DM","","http://www.drugbank.ca/drugs/DB00630","http://www.disease-ontology.org/term/DOID%3A5408"
"Alendronate","breast cancer","NOT","fosamax may lower risk of breast cancer but doesn’t treat it","http://www.drugbank.ca/drugs/DB00630","http://www.disease-ontology.org/term/DOID%3A1612"
"Alendronate","osteoporosis","DM","","http://www.drugbank.ca/drugs/DB00630","http://www.disease-ontology.org/term/DOID%3A11476"
"Alitretinoin","hematologic cancer","DM","","http://www.drugbank.ca/drugs/DB00523","http://www.disease-ontology.org/term/DOID%3A2531"
"Alitretinoin","peripheral nervous system neoplasm","DM","","http://www.drugbank.ca/drugs/DB00523","http://www.disease-ontology.org/term/DOID%3A1192"
"Allopurinol","gout","DM","","http://www.drugbank.ca/drugs/DB00437","http://www.disease-ontology.org/term/DOID%3A13189"
"Allopurinol","hematologic cancer","NOT","","http://www.drugbank.ca/drugs/DB00437","http://www.disease-ontology.org/term/DOID%3A2531"
"Almotriptan","migraine","SYM","","http://www.drugbank.ca/drugs/DB00918","http://www.disease-ontology.org/term/DOID%3A6364"
"Alprazolam","panic disorder","SYM","","http://www.drugbank.ca/drugs/DB00404","http://www.disease-ontology.org/term/DOID%3A594"
"Alprazolam","systemic scleroderma","SYM","Pilot classification: symptomatic; Pilot notes:","http://www.drugbank.ca/drugs/DB00404","http://www.disease-ontology.org/term/DOID%3A418"
"Alprostadil","hypertension","NOT","can be used for ED","http://www.drugbank.ca/drugs/DB00770","http://www.disease-ontology.org/term/DOID%3A10763"
"Altretamine","ovarian cancer","DM","","http://www.drugbank.ca/drugs/DB00488","http://www.disease-ontology.org/term/DOID%3A2394"
"Amantadine","Parkinson's disease","DM","","http://www.drugbank.ca/drugs/DB00915","http://www.disease-ontology.org/term/DOID%3A14330"
"Amantadine","multiple sclerosis","SYM","fatigue in MS","http://www.drugbank.ca/drugs/DB00915","http://www.disease-ontology.org/term/DOID%3A2377"
"Amiloride","hypertension","DM","","http://www.drugbank.ca/drugs/DB00594","http://www.disease-ontology.org/term/DOID%3A10763"
"Aminocaproic Acid","anemia","NOT","give amicar in hemorrhage, not spec for anemia","http://www.drugbank.ca/drugs/DB00513","http://www.disease-ontology.org/term/DOID%3A2355"
"Aminocaproic Acid","prostate cancer","NOT","to prevent bleeding after TURP","http://www.drugbank.ca/drugs/DB00513","http://www.disease-ontology.org/term/DOID%3A10283"
"Aminophylline","asthma","SYM","","http://www.drugbank.ca/drugs/DB01223","http://www.disease-ontology.org/term/DOID%3A2841"
"Aminophylline","chronic obstructive pulmonary disease","SYM","","http://www.drugbank.ca/drugs/DB01223","http://www.disease-ontology.org/term/DOID%3A3083"
"Amiodarone","coronary artery disease","NOT","treats arrthymias","http://www.drugbank.ca/drugs/DB01118","http://www.disease-ontology.org/term/DOID%3A3393"
"Amiodarone","hypertension","NOT","treats arrthymias","http://www.drugbank.ca/drugs/DB01118","http://www.disease-ontology.org/term/DOID%3A10763"
"Amitriptyline","endogenous depression","SYM","","http://www.drugbank.ca/drugs/DB00321","http://www.disease-ontology.org/term/DOID%3A1595"
"Amitriptyline","migraine","DM"," (may decr freq of ha)","http://www.drugbank.ca/drugs/DB00321","http://www.disease-ontology.org/term/DOID%3A6364"
"Amitriptyline","multiple sclerosis","SYM","SYM or NOT","http://www.drugbank.ca/drugs/DB00321","http://www.disease-ontology.org/term/DOID%3A2377"
"Amitriptyline","rheumatoid arthritis","SYM","SYM or NOT","http://www.drugbank.ca/drugs/DB00321","http://www.disease-ontology.org/term/DOID%3A7148"
"Amitriptyline","systemic lupus erythematosus","SYM","SYM or NOT","http://www.drugbank.ca/drugs/DB00321","http://www.disease-ontology.org/term/DOID%3A9074"
"Amlodipine","coronary artery disease","DM","","http://www.drugbank.ca/drugs/DB00381","http://www.disease-ontology.org/term/DOID%3A3393"
"Amlodipine","hypertension","DM","","http://www.drugbank.ca/drugs/DB00381","http://www.disease-ontology.org/term/DOID%3A10763"
"Amobarbital","epilepsy syndrome","SYM","","http://www.drugbank.ca/drugs/DB01351","http://www.disease-ontology.org/term/DOID%3A1826"
"Amphetamine","attention deficit hyperactivity disorder","SYM","","http://www.drugbank.ca/drugs/DB00182","http://www.disease-ontology.org/term/DOID%3A1094"
"Amphetamine","narcolepsy","SYM","","http://www.drugbank.ca/drugs/DB00182","http://www.disease-ontology.org/term/DOID%3A8986"
"Amprenavir","acquired immunodeficiency syndrome","DM","","http://www.drugbank.ca/drugs/DB00701","http://www.disease-ontology.org/term/DOID%3A635"
"Amrinone","dilated cardiomyopathy","SYM","","http://www.drugbank.ca/drugs/DB01427","http://www.disease-ontology.org/term/DOID%3A12930"
"Anagrelide","hematologic cancer","DM","","http://www.drugbank.ca/drugs/DB00261","http://www.disease-ontology.org/term/DOID%3A2531"
"Anastrozole","breast cancer","DM","","http://www.drugbank.ca/drugs/DB01217","http://www.disease-ontology.org/term/DOID%3A1612"
"Antipyrine","migraine","SYM","","http://www.drugbank.ca/drugs/DB01435","http://www.disease-ontology.org/term/DOID%3A6364"
"Apomorphine","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB00714","http://www.disease-ontology.org/term/DOID%3A14330"
"Apraclonidine","glaucoma","DM","","http://www.drugbank.ca/drugs/DB00964","http://www.disease-ontology.org/term/DOID%3A1686"
"Aprepitant","breast cancer","SYM","","http://www.drugbank.ca/drugs/DB00673","http://www.disease-ontology.org/term/DOID%3A1612"
"Aprepitant","colon cancer","SYM","","http://www.drugbank.ca/drugs/DB00673","http://www.disease-ontology.org/term/DOID%3A219"
"Arformoterol","asthma","DM","","http://www.drugbank.ca/drugs/DB01274","http://www.disease-ontology.org/term/DOID%3A2841"
"Arformoterol","chronic obstructive pulmonary disease","DM","","http://www.drugbank.ca/drugs/DB01274","http://www.disease-ontology.org/term/DOID%3A3083"
"Aripiprazole","autistic disorder","SYM","","http://www.drugbank.ca/drugs/DB01238","http://www.disease-ontology.org/term/DOID%3A12849"
"Aripiprazole","bipolar disorder","SYM","","http://www.drugbank.ca/drugs/DB01238","http://www.disease-ontology.org/term/DOID%3A3312"
"Aripiprazole","endogenous depression","SYM","","http://www.drugbank.ca/drugs/DB01238","http://www.disease-ontology.org/term/DOID%3A1595"
"Aripiprazole","schizophrenia","SYM","","http://www.drugbank.ca/drugs/DB01238","http://www.disease-ontology.org/term/DOID%3A5419"
"Artemether","malaria","DM","","http://www.drugbank.ca/drugs/DB06697","http://www.disease-ontology.org/term/DOID%3A12365"
"Atomoxetine","attention deficit hyperactivity disorder","SYM","","http://www.drugbank.ca/drugs/DB00289","http://www.disease-ontology.org/term/DOID%3A1094"
"Atomoxetine","autistic disorder","SYM","","http://www.drugbank.ca/drugs/DB00289","http://www.disease-ontology.org/term/DOID%3A12849"
"Atorvastatin","coronary artery disease","DM","","http://www.drugbank.ca/drugs/DB01076","http://www.disease-ontology.org/term/DOID%3A3393"
"Atorvastatin","hypertension","DM","","http://www.drugbank.ca/drugs/DB01076","http://www.disease-ontology.org/term/DOID%3A10763"
"Atorvastatin","type 2 diabetes mellitus","NOT","","http://www.drugbank.ca/drugs/DB01076","http://www.disease-ontology.org/term/DOID%3A9352"
"Atropine","Crohn's disease","SYM","","http://www.drugbank.ca/drugs/DB00572","http://www.disease-ontology.org/term/DOID%3A8778"
"Atropine","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB00572","http://www.disease-ontology.org/term/DOID%3A14330"
"Atropine","pancreatitis","NOT","","http://www.drugbank.ca/drugs/DB00572","http://www.disease-ontology.org/term/DOID%3A4989"
"Auranofin","psoriatic arthritis","DM","","http://www.drugbank.ca/drugs/DB00995","http://www.disease-ontology.org/term/DOID%3A9008"
"Auranofin","rheumatoid arthritis","DM","","http://www.drugbank.ca/drugs/DB00995","http://www.disease-ontology.org/term/DOID%3A7148"
"Azathioprine","Crohn's disease","DM","","http://www.drugbank.ca/drugs/DB00993","http://www.disease-ontology.org/term/DOID%3A8778"
"Azathioprine","multiple sclerosis","DM","","http://www.drugbank.ca/drugs/DB00993","http://www.disease-ontology.org/term/DOID%3A2377"
"Azathioprine","rheumatoid arthritis","DM","","http://www.drugbank.ca/drugs/DB00993","http://www.disease-ontology.org/term/DOID%3A7148"
"Azathioprine","systemic lupus erythematosus","DM","","http://www.drugbank.ca/drugs/DB00993","http://www.disease-ontology.org/term/DOID%3A9074"
"Azathioprine","systemic scleroderma","DM","","http://www.drugbank.ca/drugs/DB00993","http://www.disease-ontology.org/term/DOID%3A418"
"Azathioprine","ulcerative colitis","DM","","http://www.drugbank.ca/drugs/DB00993","http://www.disease-ontology.org/term/DOID%3A8577"
"Baclofen","multiple sclerosis","SYM","Pilot classification: symptomatic; Pilot notes:","http://www.drugbank.ca/drugs/DB00181","http://www.disease-ontology.org/term/DOID%3A2377"
"Balsalazide","Crohn's disease","DM","","http://www.drugbank.ca/drugs/DB01014","http://www.disease-ontology.org/term/DOID%3A8778"
"Balsalazide","ulcerative colitis","DM","","http://www.drugbank.ca/drugs/DB01014","http://www.disease-ontology.org/term/DOID%3A8577"
"Beclomethasone","asthma","DM","","http://www.drugbank.ca/drugs/DB00394","http://www.disease-ontology.org/term/DOID%3A2841"
"Beclomethasone","psoriasis","DM","","http://www.drugbank.ca/drugs/DB00394","http://www.disease-ontology.org/term/DOID%3A8893"
"Benazepril","hypertension","DM","","http://www.drugbank.ca/drugs/DB00542","http://www.disease-ontology.org/term/DOID%3A10763"
"Bendroflumethiazide","hypertension","DM","","http://www.drugbank.ca/drugs/DB00436","http://www.disease-ontology.org/term/DOID%3A10763"
"Benzatropine","Alzheimer's disease","SYM","","http://www.drugbank.ca/drugs/DB00245","http://www.disease-ontology.org/term/DOID%3A10652"
"Benzatropine","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB00245","http://www.disease-ontology.org/term/DOID%3A14330"
"Benzatropine","autistic disorder","SYM","","http://www.drugbank.ca/drugs/DB00245","http://www.disease-ontology.org/term/DOID%3A12849"
"Benzatropine","schizophrenia","SYM","","http://www.drugbank.ca/drugs/DB00245","http://www.disease-ontology.org/term/DOID%3A5419"
"Benzphetamine","obesity","DM","","http://www.drugbank.ca/drugs/DB00865","http://www.disease-ontology.org/term/DOID%3A9970"
"Bepridil","hypertension","NOT","","http://www.drugbank.ca/drugs/DB01244","http://www.disease-ontology.org/term/DOID%3A10763"
"Betamethasone","allergic rhinitis","DM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A4481"
"Betamethasone","anemia","NOT","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A2355"
"Betamethasone","ankylosing spondylitis","DM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A7147"
"Betamethasone","asthma","DM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A2841"
"Betamethasone","atopic dermatitis","DM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A3310"
"Betamethasone","brain cancer","SYM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A1319"
"Betamethasone","breast cancer","SYM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A1612"
"Betamethasone","colon cancer","SYM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A219"
"Betamethasone","hematologic cancer","SYM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A2531"
"Betamethasone","hypertension","NOT","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A10763"
"Betamethasone","kidney cancer","SYM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A263"
"Betamethasone","multiple sclerosis","SYM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A2377"
"Betamethasone","prostate cancer","SYM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A10283"
"Betamethasone","psoriasis","SYM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A8893"
"Betamethasone","psoriatic arthritis","SYM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A9008"
"Betamethasone","rheumatoid arthritis","SYM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A7148"
"Betamethasone","systemic lupus erythematosus","SYM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A9074"
"Betamethasone","ulcerative colitis","SYM","","http://www.drugbank.ca/drugs/DB00443","http://www.disease-ontology.org/term/DOID%3A8577"
"Betaxolol","glaucoma","DM","","http://www.drugbank.ca/drugs/DB00195","http://www.disease-ontology.org/term/DOID%3A1686"
"Betaxolol","hypertension","DM","","http://www.drugbank.ca/drugs/DB00195","http://www.disease-ontology.org/term/DOID%3A10763"
"Bexarotene","hematologic cancer","DM","","http://www.drugbank.ca/drugs/DB00307","http://www.disease-ontology.org/term/DOID%3A2531"
"Bicalutamide","prostate cancer","DM","","http://www.drugbank.ca/drugs/DB01128","http://www.disease-ontology.org/term/DOID%3A10283"
"Bimatoprost","glaucoma","DM","","http://www.drugbank.ca/drugs/DB00905","http://www.disease-ontology.org/term/DOID%3A1686"
"Bimatoprost","hypertension","NOT","","http://www.drugbank.ca/drugs/DB00905","http://www.disease-ontology.org/term/DOID%3A10763"
"Biperiden","Alzheimer's disease","SYM","","http://www.drugbank.ca/drugs/DB00810","http://www.disease-ontology.org/term/DOID%3A10652"
"Biperiden","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB00810","http://www.disease-ontology.org/term/DOID%3A14330"
"Bismuth Subsalicylate","psoriasis","NOT","","http://www.drugbank.ca/drugs/DB01294","http://www.disease-ontology.org/term/DOID%3A8893"
"Bleomycin","germ cell cancer","DM","","http://www.drugbank.ca/drugs/DB00290","http://www.disease-ontology.org/term/DOID%3A2994"
"Bleomycin","hematologic cancer","DM","","http://www.drugbank.ca/drugs/DB00290","http://www.disease-ontology.org/term/DOID%3A2531"
"Bleomycin","lymphatic system cancer","DM","","http://www.drugbank.ca/drugs/DB00290","http://www.disease-ontology.org/term/DOID%3A0060073"
"Bleomycin","melanoma","DM","","http://www.drugbank.ca/drugs/DB00290","http://www.disease-ontology.org/term/DOID%3A1909"
"Bleomycin","skin cancer","DM","","http://www.drugbank.ca/drugs/DB00290","http://www.disease-ontology.org/term/DOID%3A4159"
"Bleomycin","testicular cancer","DM","","http://www.drugbank.ca/drugs/DB00290","http://www.disease-ontology.org/term/DOID%3A2998"
"Bortezomib","hematologic cancer","DM","","http://www.drugbank.ca/drugs/DB00188","http://www.disease-ontology.org/term/DOID%3A2531"
"Bosentan","hypertension","DM","","http://www.drugbank.ca/drugs/DB00559","http://www.disease-ontology.org/term/DOID%3A10763"
"Brimonidine","glaucoma","DM","","http://www.drugbank.ca/drugs/DB00484","http://www.disease-ontology.org/term/DOID%3A1686"
"Brimonidine","hypertension","NOT","","http://www.drugbank.ca/drugs/DB00484","http://www.disease-ontology.org/term/DOID%3A10763"
"Brinzolamide","glaucoma","DM","","http://www.drugbank.ca/drugs/DB01194","http://www.disease-ontology.org/term/DOID%3A1686"
"Brinzolamide","hypertension","NOT","","http://www.drugbank.ca/drugs/DB01194","http://www.disease-ontology.org/term/DOID%3A10763"
"Bromocriptine","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB01200","http://www.disease-ontology.org/term/DOID%3A14330"
"Bromocriptine","type 2 diabetes mellitus","NOT","","http://www.drugbank.ca/drugs/DB01200","http://www.disease-ontology.org/term/DOID%3A9352"
"Budesonide","asthma","DM","","http://www.drugbank.ca/drugs/DB01222","http://www.disease-ontology.org/term/DOID%3A2841"
"Budesonide","ulcerative colitis","DM","","http://www.drugbank.ca/drugs/DB01222","http://www.disease-ontology.org/term/DOID%3A8577"
"Bumetanide","chronic kidney failure","SYM","","http://www.drugbank.ca/drugs/DB00887","http://www.disease-ontology.org/term/DOID%3A784"
"Bumetanide","hypertension","SYM","","http://www.drugbank.ca/drugs/DB00887","http://www.disease-ontology.org/term/DOID%3A10763"
"Bupropion","attention deficit hyperactivity disorder","SYM","","http://www.drugbank.ca/drugs/DB01156","http://www.disease-ontology.org/term/DOID%3A1094"
"Bupropion","obesity","NOT","","http://www.drugbank.ca/drugs/DB01156","http://www.disease-ontology.org/term/DOID%3A9970"
"Bupropion","panic disorder","SYM","Pilot classification: disease-modifying; Pilot notes: if it reduces 'flares' of panic attacks","http://www.drugbank.ca/drugs/DB01156","http://www.disease-ontology.org/term/DOID%3A594"
"Buspirone","epilepsy syndrome","NOT","","http://www.drugbank.ca/drugs/DB00490","http://www.disease-ontology.org/term/DOID%3A1826"
"Buspirone","panic disorder","SYM","","http://www.drugbank.ca/drugs/DB00490","http://www.disease-ontology.org/term/DOID%3A594"
"Busulfan","colon cancer","NOT","","http://www.drugbank.ca/drugs/DB01008","http://www.disease-ontology.org/term/DOID%3A219"
"Busulfan","hematologic cancer","DM","","http://www.drugbank.ca/drugs/DB01008","http://www.disease-ontology.org/term/DOID%3A2531"
"Butalbital","migraine","SYM","","http://www.drugbank.ca/drugs/DB00241","http://www.disease-ontology.org/term/DOID%3A6364"
"Butenafine","psoriasis","NOT","","http://www.drugbank.ca/drugs/DB01091","http://www.disease-ontology.org/term/DOID%3A8893"
"Cabazitaxel","prostate cancer","DM","","http://www.drugbank.ca/drugs/DB06772","http://www.disease-ontology.org/term/DOID%3A10283"
"Cabergoline","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB00248","http://www.disease-ontology.org/term/DOID%3A14330"
"Caffeine","migraine","SYM","","http://www.drugbank.ca/drugs/DB00201","http://www.disease-ontology.org/term/DOID%3A6364"
"Caffeine","osteoarthritis","NOT","","http://www.drugbank.ca/drugs/DB00201","http://www.disease-ontology.org/term/DOID%3A8398"
"Calcipotriol","psoriasis","DM","","http://www.drugbank.ca/drugs/DB02300","http://www.disease-ontology.org/term/DOID%3A8893"
"Calcitriol","chronic kidney failure","SYM","","http://www.drugbank.ca/drugs/DB00136","http://www.disease-ontology.org/term/DOID%3A784"
"Calcitriol","osteoporosis","DM","","http://www.drugbank.ca/drugs/DB00136","http://www.disease-ontology.org/term/DOID%3A11476"
"Calcitriol","psoriasis","DM","","http://www.drugbank.ca/drugs/DB00136","http://www.disease-ontology.org/term/DOID%3A8893"
"Calcium Acetate","chronic kidney failure","SYM","","http://www.drugbank.ca/drugs/DB00258","http://www.disease-ontology.org/term/DOID%3A784"
"Calcium Acetate","osteoporosis","SYM","","http://www.drugbank.ca/drugs/DB00258","http://www.disease-ontology.org/term/DOID%3A11476"
"Candesartan","hypertension","DM","","http://www.drugbank.ca/drugs/DB00796","http://www.disease-ontology.org/term/DOID%3A10763"
"Capecitabine","breast cancer","DM","","http://www.drugbank.ca/drugs/DB01101","http://www.disease-ontology.org/term/DOID%3A1612"
"Capecitabine","colon cancer","DM","","http://www.drugbank.ca/drugs/DB01101","http://www.disease-ontology.org/term/DOID%3A219"
"Capecitabine","esophageal cancer","DM","","http://www.drugbank.ca/drugs/DB01101","http://www.disease-ontology.org/term/DOID%3A5041"
"Capecitabine","kidney cancer","DM","case rep, not approved","http://www.drugbank.ca/drugs/DB01101","http://www.disease-ontology.org/term/DOID%3A263"
"Capecitabine","prostate cancer","DM","","http://www.drugbank.ca/drugs/DB01101","http://www.disease-ontology.org/term/DOID%3A10283"
"Capecitabine","stomach cancer","DM","","http://www.drugbank.ca/drugs/DB01101","http://www.disease-ontology.org/term/DOID%3A10534"
"Captopril","coronary artery disease","DM","","http://www.drugbank.ca/drugs/DB01197","http://www.disease-ontology.org/term/DOID%3A3393"
"Captopril","hypertension","DM","","http://www.drugbank.ca/drugs/DB01197","http://www.disease-ontology.org/term/DOID%3A10763"
"Captopril","rheumatoid arthritis","NOT","Pilot classification: ?; Pilot notes: some research in rats says this may be helpful in RA","http://www.drugbank.ca/drugs/DB01197","http://www.disease-ontology.org/term/DOID%3A7148"
"Captopril","systemic scleroderma","DM","prevents vascualr damage","http://www.drugbank.ca/drugs/DB01197","http://www.disease-ontology.org/term/DOID%3A418"
"Carbachol","glaucoma","DM","","http://www.drugbank.ca/drugs/DB00411","http://www.disease-ontology.org/term/DOID%3A1686"
"Carbamazepine","bipolar disorder","SYM","","http://www.drugbank.ca/drugs/DB00564","http://www.disease-ontology.org/term/DOID%3A3312"
"Carbamazepine","epilepsy syndrome","SYM","","http://www.drugbank.ca/drugs/DB00564","http://www.disease-ontology.org/term/DOID%3A1826"
"Carbamazepine","multiple sclerosis","SYM","","http://www.drugbank.ca/drugs/DB00564","http://www.disease-ontology.org/term/DOID%3A2377"
"Carbamazepine","restless legs syndrome","SYM","","http://www.drugbank.ca/drugs/DB00564","http://www.disease-ontology.org/term/DOID%3A0050425"
"Carbamazepine","schizophrenia","SYM","","http://www.drugbank.ca/drugs/DB00564","http://www.disease-ontology.org/term/DOID%3A5419"
"Carbidopa","Alzheimer's disease","NOT","","http://www.drugbank.ca/drugs/DB00190","http://www.disease-ontology.org/term/DOID%3A10652"
"Carbidopa","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB00190","http://www.disease-ontology.org/term/DOID%3A14330"
"Carbidopa","restless legs syndrome","SYM","","http://www.drugbank.ca/drugs/DB00190","http://www.disease-ontology.org/term/DOID%3A0050425"
"Carboplatin","bone cancer","DM","","http://www.drugbank.ca/drugs/DB00958","http://www.disease-ontology.org/term/DOID%3A184"
"Carboplatin","brain cancer","DM","","http://www.drugbank.ca/drugs/DB00958","http://www.disease-ontology.org/term/DOID%3A1319"
"Carboplatin","breast cancer","DM","","http://www.drugbank.ca/drugs/DB00958","http://www.disease-ontology.org/term/DOID%3A1612"
"Carboplatin","esophageal cancer","DM","","http://www.drugbank.ca/drugs/DB00958","http://www.disease-ontology.org/term/DOID%3A5041"
"Carboplatin","ocular cancer","DM","","http://www.drugbank.ca/drugs/DB00958","http://www.disease-ontology.org/term/DOID%3A2174"
"Carboplatin","ovarian cancer","DM","","http://www.drugbank.ca/drugs/DB00958","http://www.disease-ontology.org/term/DOID%3A2394"
"Carboplatin","testicular cancer","DM","","http://www.drugbank.ca/drugs/DB00958","http://www.disease-ontology.org/term/DOID%3A2998"
"Carboplatin","urinary bladder cancer","DM","","http://www.drugbank.ca/drugs/DB00958","http://www.disease-ontology.org/term/DOID%3A11054"
"Carboplatin","uterine cancer","DM","","http://www.drugbank.ca/drugs/DB00958","http://www.disease-ontology.org/term/DOID%3A363"
"Carmustine","brain cancer","DM","","http://www.drugbank.ca/drugs/DB00262","http://www.disease-ontology.org/term/DOID%3A1319"
"Carmustine","hematologic cancer","DM","","http://www.drugbank.ca/drugs/DB00262","http://www.disease-ontology.org/term/DOID%3A2531"
"Carmustine","lymphatic system cancer","DM","","http://www.drugbank.ca/drugs/DB00262","http://www.disease-ontology.org/term/DOID%3A0060073"
"Carmustine","malignant glioma","DM","","http://www.drugbank.ca/drugs/DB00262","http://www.disease-ontology.org/term/DOID%3A3070"
"Carmustine","melanoma","DM","","http://www.drugbank.ca/drugs/DB00262","http://www.disease-ontology.org/term/DOID%3A1909"
"Carmustine","skin cancer","DM","","http://www.drugbank.ca/drugs/DB00262","http://www.disease-ontology.org/term/DOID%3A4159"
"Carteolol","glaucoma","DM","","http://www.drugbank.ca/drugs/DB00521","http://www.disease-ontology.org/term/DOID%3A1686"
"Carteolol","hypertension","NOT","","http://www.drugbank.ca/drugs/DB00521","http://www.disease-ontology.org/term/DOID%3A10763"
"Carvedilol","hypertension","DM","","http://www.drugbank.ca/drugs/DB01136","http://www.disease-ontology.org/term/DOID%3A10763"
"Cefdinir","allergic rhinitis","NOT","","http://www.drugbank.ca/drugs/DB00535","http://www.disease-ontology.org/term/DOID%3A4481"
"Cefdinir","asthma","NOT","","http://www.drugbank.ca/drugs/DB00535","http://www.disease-ontology.org/term/DOID%3A2841"
"Celecoxib","ankylosing spondylitis","SYM","","http://www.drugbank.ca/drugs/DB00482","http://www.disease-ontology.org/term/DOID%3A7147"
"Celecoxib","colon cancer","SYM","","http://www.drugbank.ca/drugs/DB00482","http://www.disease-ontology.org/term/DOID%3A219"
"Celecoxib","hematologic cancer","SYM","","http://www.drugbank.ca/drugs/DB00482","http://www.disease-ontology.org/term/DOID%3A2531"
