"drug","disease","classification","notes","drug_url","disease_url"
"Ramipril","coronary artery disease","NOT","","http://www.drugbank.ca/drugs/DB00178","http://www.disease-ontology.org/term/DOID%3A3393"
"Ramipril","hypertension","DM","","http://www.drugbank.ca/drugs/DB00178","http://www.disease-ontology.org/term/DOID%3A10763"
"Ramipril","type 1 diabetes mellitus","NOT","","http://www.drugbank.ca/drugs/DB00178","http://www.disease-ontology.org/term/DOID%3A9744"
"Ramipril","type 2 diabetes mellitus","NOT","","http://www.drugbank.ca/drugs/DB00178","http://www.disease-ontology.org/term/DOID%3A9352"
"Rasagiline","Parkinson's disease","SYM","","http://www.drugbank.ca/drugs/DB01367","http://www.disease-ontology.org/term/DOID%3A14330"
"Repaglinide","type 2 diabetes mellitus","DM","","http://www.drugbank.ca/drugs/DB00912","http://www.disease-ontology.org/term/DOID%3A9352"
"Reserpine","hypertension","NOT","rarely used","http://www.drugbank.ca/drugs/DB00206","http://www.disease-ontology.org/term/DOID%3A10763"
"Rifabutin","acquired immunodeficiency syndrome","NOT","","http://www.drugbank.ca/drugs/DB00615","http://www.disease-ontology.org/term/DOID%3A635"
"Rifampicin","leprosy","DM","","http://www.drugbank.ca/drugs/DB01045","http://www.disease-ontology.org/term/DOID%3A1024"
"Riluzole","amyotrophic lateral sclerosis","SYM","or DM?","http://www.drugbank.ca/drugs/DB00740","http://www.disease-ontology.org/term/DOID%3A332"
"Risedronate","Paget's disease of bone","DM","","http://www.drugbank.ca/drugs/DB00884","http://www.disease-ontology.org/term/DOID%3A5408"
"Risedronate","breast cancer","NOT","","http://www.drugbank.ca/drugs/DB00884","http://www.disease-ontology.org/term/DOID%3A1612"
"Risedronate","osteoporosis","DM","","http://www.drugbank.ca/drugs/DB00884","http://www.disease-ontology.org/term/DOID%3A11476"
"Risperidone","Gilles de la Tourette syndrome","SYM","","http://www.drugbank.ca/drugs/DB00734","http://www.disease-ontology.org/term/DOID%3A11119"
"Risperidone","autistic disorder","SYM","","http://www.drugbank.ca/drugs/DB00734","http://www.disease-ontology.org/term/DOID%3A12849"
"Risperidone","bipolar disorder","SYM","","http://www.drugbank.ca/drugs/DB00734","http://www.disease-ontology.org/term/DOID%3A3312"
